NeighborhoodName,City,State,CountyName,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
Dover Crystal,Arlington,VA,Arlington County,4721,4717,4738,4680,4718,4761
Woodmont,Arlington,VA,Arlington County,4186,4217,4257,4253,4293,4326
Chain Bridge Forest,Arlington,VA,Arlington County,3979,3889,3785,3752,3778,3864
Dominion Hills,Arlington,VA,Arlington County,3445,3388,3387,3427,3494,3528
Madison Manor,Arlington,VA,Arlington County,3251,3250,3290,3344,3379,3397
Boulevard Manor,Arlington,VA,Arlington County,3243,3271,3264,3229,3247,3296
Yorktown,Arlington,VA,Arlington County,3147,3148,3128,3052,3062,3071
The North End,Virginia Beach,VA,Virginia Beach City,3102,3200,3226,3264,3267,3253
Cape Story by the Sea,Virginia Beach,VA,Virginia Beach City,3059,3088,3114,3142,3172,3172
Croatan Beach,Virginia Beach,VA,Virginia Beach City,3034,3090,3118,3135,2910,2957
Arlington View,Arlington,VA,Arlington County,2959,2960,3000,3097,3148,3176
Stonewall Court,Richmond,VA,Richmond City,2842,2868,2869,2901,2933,2943
Northeast,Alexandria,VA,Alexandria City,2687,2700,2734,2754,2775,2792